534 COL3A1 7
535 RTTN 7
536 CCDC69 7
537 GLRX2 6
538 PREX2 6
539 TASP1 6
540 TMCO6 6
541 ECHDC2 6
542 CYP2E1 6
543 NREP 6
544 VSNL1 6
545 HCN1 6
546 MAGI2 6
547 ZNF275 5
548 EBF3 5
549 A1BG 5
550 MYLK3 5
551 GREB1L 5
552 ZNF385B 5
553 DDIT4L 5
554 NDST2 5
555 RBKS 5
556 TATDN3 5
557 ZSWIM7 5
558 LEPROTL1 4
559 ICAM2 4
560 ATP7B 4
561 ZNF337 4
562 ENOSF1 4
563 TMEM108 4
564 FRMD3 4
565 KIAA0195 4
566 TPI1P1 4
567 CPPED1 3
568 CARD8 3
569 RASSF4 3
570 LGI1 3
571 GPR133 3
572 ANKRD13C 3
573 PLA2G12A 3
574 DEGS1 3
575 TSLP 3
576 ATXN7L1 3
577 PXDNL 3
578 PPM1L 3
579 FAM96A 3
580 ZNF662 3
581 PTRHD1 3
582 SELT 3
583 SNORA63 3
584 CLCN6 2
585 ENPP5 2
586 FAAH 2
587 ST3GAL3 2
588 JTB 2
589 DPH3 2
590 GOLGA7B 2
591 AFAP1L1 2
592 DNAJC18 2
593 ZNF160 2
594 PDE7B 2
595 TMEM134 2
596 FAM86B3P 2
597 TMEM167A 2
598 SEPW1 2
599 ZNF529 2
600 COL15A1 2
601 ZNF783 2
602 SMIM20 2
603 APOPT1 2
604 GOLGA7B 2
605 MPC1 1
606 MPPED2 1
607 SLC27A5 1
608 SLC7A6 1
609 NDUFC1 1
610 GTDC1 1
611 UQCR11 1
612 TSPAN31 1
613 LGR5 1
614 GRTP1 1
615 ARHGAP36 1
616 LGI4 1
617 MUM1L1 1
618 OLFML2B 1
619 RFTN2 1
620 HPGD 1
621 HOXB2 1
622 SCUBE2 1
623 FCER1A 1
624 FAM104B 1
625 MROH7 1
626 ADSSL1 1
627 CMC1 1
628 MORN2 1
629 CCDC167 1
630 SNORA12 1
631 ARL16 1
632 SLC35E2 1
633 FAM19A5 1
634 EEF1DP3 1
635 DICER1-AS1 1
636 FAM200B 1
637 GOLGA2P5 1
638 CHKB 0
639 ATP1B4 0
640 CPQ 0
641 KAZALD1 0
642 PCDHB2 0
643 STEAP4 0
644 RABL5 0
645 BPHL 0
646 UNC13C 0
647 SLC28A2 0
648 ZNF385D 0
649 ZNF117 0
650 TPPP3 0
651 COX7A1 0
652 ADAMTS9 0
653 PARM1 0
654 GPR27 0
655 FAM86JP 0
656 ZNF540 0
657 DMRT2 0
658 CADM2 0
659 UCP3 0
660 IRX5 0
661 MAMSTR 0
662 RIIAD1 0
663 COA4 0
664 FAM162B 0
665 UBALD2 0
666 RGS9BP 0
667 ACN9 0
668 ZNF682 0
669 FAM49A 0
670 MT-ND5 0
671 MT-ND3 0
672 MT-ND4 0
673 FAM229B 0
674 FLJ00104 0
675 U3 0
676 U3 0
677 SLC23A3 0
678 COL28A1 0
679 OST4 0
680 CDKN2AIPNL 0
681 UBE2F-SCLY 0
